CIP2020Code,CIP2020Title,SOC2018Code,SOC2018Title
01.8399,"Veterinary/Animal Health Technologies/Technicians, Other.",31-9096,Veterinary Assistants and Laboratory Animal Caretakers
03.0209,Energy and Environmental Policy.,13-1041,Compliance Officers
03.0209,Energy and Environmental Policy.,19-3099,"Social Scientists and Related Workers, All Other"
03.0210,Bioenergy.,99-9999,NO MATCH
04.0200,Pre-Architecture Studies.,99-9999,NO MATCH
04.0202,Architectural Design.,11-9041,Architectural and Engineering Managers
04.0202,Architectural Design.,17-1011,"Architects, Except Landscape and Naval"
04.0202,Architectural Design.,25-1031,"Architecture Teachers, Postsecondary"
04.0299,"Architecture, Other.",25-1031,"Architecture Teachers, Postsecondary"
04.0402,Healthcare Environment Design/Architecture.,11-9041,Architectural and Engineering Managers
04.0402,Healthcare Environment Design/Architecture.,25-1031,"Architecture Teachers, Postsecondary"
04.0402,Healthcare Environment Design/Architecture.,27-1025,Interior Designers
04.0403,Sustainable Design/Architecture.,19-3051,Urban and Regional Planners
04.0403,Sustainable Design/Architecture.,25-1031,"Architecture Teachers, Postsecondary"
04.0499,"Environmental Design, Other.",25-1031,"Architecture Teachers, Postsecondary"
04.0802,Architectural Conservation.,19-3093,Historians
04.0802,Architectural Conservation.,25-1031,"Architecture Teachers, Postsecondary"
04.0803,Architectural Studies.,25-1031,"Architecture Teachers, Postsecondary"
04.0899,"Architectural History, Criticism, and Conservation, Other.",25-1031,"Architecture Teachers, Postsecondary"
05.0135,Appalachian Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0136,Arctic Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.0212,Comparative Group Studies.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
05.9999,"Area, Ethnic, Cultural, Gender, and Group Studies, Other.",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
09.0405,Business and Economic Journalism.,25-1122,"Communications Teachers, Postsecondary"
09.0405,Business and Economic Journalism.,27-3023,"News Analysts, Reporters, and Journalists"
09.0406,Cultural Journalism.,25-1122,"Communications Teachers, Postsecondary"
09.0406,Cultural Journalism.,27-3023,"News Analysts, Reporters, and Journalists"
09.0407,Science/Health/Environmental Journalism.,25-1122,"Communications Teachers, Postsecondary"
09.0407,Science/Health/Environmental Journalism.,27-3023,"News Analysts, Reporters, and Journalists"
09.0909,Communication Management and Strategic Communications.,11-2032,Public Relations Managers
09.0909,Communication Management and Strategic Communications.,11-2033,Fundraising Managers
10.0204,Voice Writing Technology/Technician.,27-3092,Court Reporters and Simultaneous Captioners
11.0105,Human-Centered Technology Design.,15-1255,Web and Digital Interface Designers
11.0204,Computer Game Programming.,15-1251,Computer Programmers
11.0204,Computer Game Programming.,15-1252,Software Developers
11.0204,Computer Game Programming.,15-1253,Software Quality Assurance Analysts and Testers
11.0205,"Computer Programming, Specific Platforms.",15-1251,Computer Programmers
11.0205,"Computer Programming, Specific Platforms.",15-1252,Software Developers
11.0205,"Computer Programming, Specific Platforms.",15-1253,Software Quality Assurance Analysts and Testers
11.0902,Cloud Computing.,15-1221,Computer and Information Research Scientists
11.0902,Cloud Computing.,15-1231,Computer Network Support Specialists
11.0902,Cloud Computing.,15-1241,Computer Network Architects
11.0902,Cloud Computing.,15-1243,Database Architects
11.0902,Cloud Computing.,15-1251,Computer Programmers
11.0902,Cloud Computing.,15-1252,Software Developers
11.0902,Cloud Computing.,25-1021,"Computer Science Teachers, Postsecondary"
11.0999,"Computer Systems Networking and Telecommunications, Other.",99-9999,NO MATCH
12.0601,"Casino Operations and Services, General.",33-9031,Gambling Surveillance Officers and Gambling Investigators
12.0601,"Casino Operations and Services, General.",39-1013,First-Line Supervisors of Gambling Services Workers
12.0601,"Casino Operations and Services, General.",43-3041,Gambling Cage Workers
12.0602,Casino Dealing.,39-1013,First-Line Supervisors of Gambling Services Workers
12.0602,Casino Dealing.,39-3011,Gambling Dealers
12.0699,"Casino Operations and Services, Other.",99-9999,NO MATCH
13.0412,International School Administration/Leadership.,11-9031,"Education and Childcare Administrators, Preschool and Daycare"
13.0412,International School Administration/Leadership.,11-9032,"Education Administrators, Kindergarten through Secondary"
13.0412,International School Administration/Leadership.,11-9033,"Education Administrators, Postsecondary"
13.0412,International School Administration/Leadership.,11-9039,"Education Administrators, All Other"
13.0413,Education Entrepreneurship.,11-9039,"Education Administrators, All Other"
13.0414,Early Childhood Program Administration.,11-9031,"Education and Childcare Administrators, Preschool and Daycare"
13.0414,Early Childhood Program Administration.,11-9032,"Education Administrators, Kindergarten through Secondary"
13.0608,Institutional Research.,13-1111,Management Analysts
13.0608,Institutional Research.,15-2041,Statisticians
13.0608,Institutional Research.,19-3022,Survey Researchers
13.1211,Online Educator/Online Teaching.,25-1081,"Education Teachers, Postsecondary"
13.1211,Online Educator/Online Teaching.,25-1199,"Postsecondary Teachers, All Other"
13.1211,Online Educator/Online Teaching.,25-2021,"Elementary School Teachers, Except Special Education"
13.1211,Online Educator/Online Teaching.,25-2022,"Middle School Teachers, Except Special and Career/Technical Education"
13.1211,Online Educator/Online Teaching.,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
13.1211,Online Educator/Online Teaching.,25-3021,Self-Enrichment Teachers
13.1211,Online Educator/Online Teaching.,25-3099,"Teachers and Instructors, All Other"
13.1212,International Teaching and Learning.,25-2011,"Preschool Teachers, Except Special Education"
13.1212,International Teaching and Learning.,25-2012,"Kindergarten Teachers, Except Special Education"
13.1212,International Teaching and Learning.,25-2021,"Elementary School Teachers, Except Special Education"
13.1212,International Teaching and Learning.,25-2022,"Middle School Teachers, Except Special and Career/Technical Education"
13.1212,International Teaching and Learning.,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
13.1213,"Science, Technology, Engineering, and Mathematics (STEM) Educational Methods.",25-1081,"Education Teachers, Postsecondary"
13.1213,"Science, Technology, Engineering, and Mathematics (STEM) Educational Methods.",25-2021,"Elementary School Teachers, Except Special Education"
13.1213,"Science, Technology, Engineering, and Mathematics (STEM) Educational Methods.",25-2022,"Middle School Teachers, Except Special and Career/Technical Education"
13.1213,"Science, Technology, Engineering, and Mathematics (STEM) Educational Methods.",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
13.1214,College/Postsecondary/University Teaching.,25-1081,"Education Teachers, Postsecondary"
13.1339,Communication Arts and Literature Teacher Education.,25-1081,"Education Teachers, Postsecondary"
13.1339,Communication Arts and Literature Teacher Education.,25-2021,"Elementary School Teachers, Except Special Education"
13.1339,Communication Arts and Literature Teacher Education.,25-2022,"Middle School Teachers, Except Special and Career/Technical Education"
13.1339,Communication Arts and Literature Teacher Education.,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
14.0103,Applied Engineering.,17-2199,"Engineers, All Other"
14.0202,Astronautical Engineering.,11-9041,Architectural and Engineering Managers
14.0202,Astronautical Engineering.,17-2011,Aerospace Engineers
14.0202,Astronautical Engineering.,17-3021,Aerospace Engineering and Operations Technologists and Technicians
14.0202,Astronautical Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.0299,"Aerospace, Aeronautical, and Astronautical/Space Engineering, Other.",11-9041,Architectural and Engineering Managers
14.0299,"Aerospace, Aeronautical, and Astronautical/Space Engineering, Other.",17-2011,Aerospace Engineers
14.0299,"Aerospace, Aeronautical, and Astronautical/Space Engineering, Other.",25-1032,"Engineering Teachers, Postsecondary"
14.0299,"Aerospace, Aeronautical, and Astronautical/Space Engineering, Other.",49-2091,Avionics Technicians
14.4701,Electrical and Computer Engineering.,11-9041,Architectural and Engineering Managers
14.4701,Electrical and Computer Engineering.,17-2061,Computer Hardware Engineers
14.4701,Electrical and Computer Engineering.,17-2071,Electrical Engineers
14.4701,Electrical and Computer Engineering.,17-2199,"Engineers, All Other"
14.4701,Electrical and Computer Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.4801,"Energy Systems Engineering, General.",11-9041,Architectural and Engineering Managers
14.4801,"Energy Systems Engineering, General.",17-2199,"Engineers, All Other"
14.4801,"Energy Systems Engineering, General.",25-1032,"Engineering Teachers, Postsecondary"
14.4802,Power Plant Engineering.,11-9041,Architectural and Engineering Managers
14.4802,Power Plant Engineering.,17-2199,"Engineers, All Other"
14.4802,Power Plant Engineering.,25-1032,"Engineering Teachers, Postsecondary"
14.4899,"Energy Systems Engineering, Other.",11-9041,Architectural and Engineering Managers
14.4899,"Energy Systems Engineering, Other.",17-2199,"Engineers, All Other"
14.4899,"Energy Systems Engineering, Other.",25-1032,"Engineering Teachers, Postsecondary"
15.0001,Applied Engineering Technologies/Technicians.,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians
15.0001,Applied Engineering Technologies/Technicians.,17-3026,Industrial Engineering Technologists and Technicians
15.0001,Applied Engineering Technologies/Technicians.,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
15.0307,Audio Engineering Technology/Technician.,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
15.0307,Audio Engineering Technology/Technician.,27-2091,"Disc Jockeys, Except Radio"
15.0307,Audio Engineering Technology/Technician.,27-4014,Sound Engineering Technicians
15.0407,"Mechatronics, Robotics, and Automation Engineering Technology/Technician.",17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians
15.0617,Composite Materials Technology/Technician.,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
15.0705,Process Safety Technology/Technician.,17-3026,Industrial Engineering Technologists and Technicians
15.0705,Process Safety Technology/Technician.,19-5012,Occupational Health and Safety Technicians
15.0806,Marine Engineering Technology/Technician.,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
15.0806,Marine Engineering Technology/Technician.,49-3051,Motorboat Mechanics and Service Technicians
15.0807,Motorsports Engineering Technology/Technician.,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
15.0807,Motorsports Engineering Technology/Technician.,49-3023,Automotive Service Technicians and Mechanics
15.1307,3-D Modeling and Design Technology/Technician.,17-3011,Architectural and Civil Drafters
15.1307,3-D Modeling and Design Technology/Technician.,17-3012,Electrical and Electronics Drafters
15.1307,3-D Modeling and Design Technology/Technician.,17-3013,Mechanical Drafters
15.1307,3-D Modeling and Design Technology/Technician.,17-3019,"Drafters, All Other"
15.1702,Power Plant Technology/Technician.,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
15.1702,Power Plant Technology/Technician.,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
15.1702,Power Plant Technology/Technician.,51-8013,Power Plant Operators
15.1704,Wind Energy Technology/Technician.,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
15.1704,Wind Energy Technology/Technician.,49-9081,Wind Turbine Service Technicians
15.1705,Hydroelectric Energy Technology/Technician.,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
15.1705,Hydroelectric Energy Technology/Technician.,51-8013,Power Plant Operators
15.1706,Geothermal Energy Technology/Technician.,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
15.1799,"Energy Systems Technologies/Technicians, Other.",17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
16.1409,Hawaiian Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.1409,Hawaiian Language and Literature.,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
16.1409,Hawaiian Language and Literature.,27-3091,Interpreters and Translators
16.1701,English as a Second Language.,99-9999,NO MATCH
16.1801,Armenian Language and Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
16.1801,Armenian Language and Literature.,27-3091,Interpreters and Translators
19.0711,Early Childhood and Family Studies.,19-3039,"Psychologists, All Other"
19.0711,Early Childhood and Family Studies.,21-1099,"Community and Social Service Specialists, All Other"
19.0711,Early Childhood and Family Studies.,25-9021,Farm and Home Management Educators
19.0711,Early Childhood and Family Studies.,39-9011,Childcare Workers
19.0712,Parent Education Services.,21-1099,"Community and Social Service Specialists, All Other"
19.0712,Parent Education Services.,25-9021,Farm and Home Management Educators
22.0099,"Non-Professional Legal Studies, Other.",99-9999,NO MATCH
22.0213,Patent Law.,23-1011,Lawyers
22.0213,Patent Law.,25-1112,"Law Teachers, Postsecondary"
22.0214,Agriculture Law.,23-1011,Lawyers
22.0214,Agriculture Law.,25-1112,"Law Teachers, Postsecondary"
22.0215,Arts and Entertainment Law.,23-1011,Lawyers
22.0215,Arts and Entertainment Law.,25-1112,"Law Teachers, Postsecondary"
22.0216,Compliance Law.,23-1011,Lawyers
22.0216,Compliance Law.,25-1112,"Law Teachers, Postsecondary"
22.0217,Criminal Law and Procedure.,23-1011,Lawyers
22.0217,Criminal Law and Procedure.,25-1112,"Law Teachers, Postsecondary"
22.0218,Entrepreneurship Law.,23-1011,Lawyers
22.0218,Entrepreneurship Law.,25-1112,"Law Teachers, Postsecondary"
22.0219,Family/Child/Elder Law.,23-1011,Lawyers
22.0219,Family/Child/Elder Law.,25-1112,"Law Teachers, Postsecondary"
22.0220,Human Resources Law.,23-1011,Lawyers
22.0220,Human Resources Law.,25-1112,"Law Teachers, Postsecondary"
22.0221,Insurance Law.,23-1011,Lawyers
22.0221,Insurance Law.,25-1112,"Law Teachers, Postsecondary"
22.0222,Real Estate and Land Development Law.,23-1011,Lawyers
22.0222,Real Estate and Land Development Law.,25-1112,"Law Teachers, Postsecondary"
22.0223,Transportation Law.,23-1011,Lawyers
22.0223,Transportation Law.,25-1112,"Law Teachers, Postsecondary"
22.0224,Tribal/Indigenous Law.,23-1011,Lawyers
22.0224,Tribal/Indigenous Law.,25-1112,"Law Teachers, Postsecondary"
22.0304,Court Interpreter.,23-2099,"Legal Support Workers, All Other"
22.0304,Court Interpreter.,27-3091,Interpreters and Translators
22.0304,Court Interpreter.,27-3092,Court Reporters and Simultaneous Captioners
22.0305,Scopist.,27-3092,Court Reporters and Simultaneous Captioners
26.0509,Infectious Disease and Global Health.,11-9111,Medical and Health Services Managers
26.0509,Infectious Disease and Global Health.,19-1029,"Biological Scientists, All Other"
26.0509,Infectious Disease and Global Health.,19-1041,Epidemiologists
26.0509,Infectious Disease and Global Health.,19-1042,"Medical Scientists, Except Epidemiologists"
26.0913,Biomechanics.,19-1021,Biochemists and Biophysicists
26.0913,Biomechanics.,19-1042,"Medical Scientists, Except Epidemiologists"
26.0913,Biomechanics.,25-1042,"Biological Science Teachers, Postsecondary"
26.0913,Biomechanics.,25-1071,"Health Specialties Teachers, Postsecondary"
26.1311,Epidemiology and Biostatistics.,11-9121,Natural Sciences Managers
26.1311,Epidemiology and Biostatistics.,15-2041,Statisticians
26.1311,Epidemiology and Biostatistics.,19-1029,"Biological Scientists, All Other"
26.1311,Epidemiology and Biostatistics.,19-1041,Epidemiologists
26.1311,Epidemiology and Biostatistics.,25-1071,"Health Specialties Teachers, Postsecondary"
27.0601,"Applied Statistics, General.",11-9121,Natural Sciences Managers
27.0601,"Applied Statistics, General.",13-1111,Management Analysts
27.0601,"Applied Statistics, General.",15-2011,Actuaries
27.0601,"Applied Statistics, General.",15-2041,Statisticians
27.0601,"Applied Statistics, General.",15-2051,Data Scientists
27.0601,"Applied Statistics, General.",19-3022,Survey Researchers
27.0601,"Applied Statistics, General.",25-1022,"Mathematical Science Teachers, Postsecondary"
29.0601,Military Technology and Applied Sciences Management.,99-9999,NO MATCH
30.0001,Comprehensive Transition and Postsecondary (CTP) Program.,99-9999,NO MATCH
30.2299,"Classical and Ancient Studies, Other.",19-3091,Anthropologists and Archeologists
30.2299,"Classical and Ancient Studies, Other.",19-3093,Historians
30.2299,"Classical and Ancient Studies, Other.",25-1061,"Anthropology and Archeology Teachers, Postsecondary"
30.2299,"Classical and Ancient Studies, Other.",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
30.2299,"Classical and Ancient Studies, Other.",25-1125,"History Teachers, Postsecondary"
30.2502,Contemplative Studies/Inquiry.,21-1099,"Community and Social Service Specialists, All Other"
30.2502,Contemplative Studies/Inquiry.,21-2021,"Directors, Religious Activities and Education"
30.2502,Contemplative Studies/Inquiry.,21-2099,"Religious Workers, All Other"
30.2502,Contemplative Studies/Inquiry.,25-1199,"Postsecondary Teachers, All Other"
30.2502,Contemplative Studies/Inquiry.,25-3021,Self-Enrichment Teachers
30.2599,"Cognitive Science, Other.",11-9121,Natural Sciences Managers
30.2599,"Cognitive Science, Other.",25-1199,"Postsecondary Teachers, All Other"
30.3401,Anthrozoology.,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
30.3401,Anthrozoology.,11-9121,Natural Sciences Managers
30.3401,Anthrozoology.,19-1011,Animal Scientists
30.3401,Anthrozoology.,19-3099,"Social Scientists and Related Workers, All Other"
30.3401,Anthrozoology.,25-1199,"Postsecondary Teachers, All Other"
30.3401,Anthrozoology.,39-2011,Animal Trainers
30.3401,Anthrozoology.,39-2021,Animal Caretakers
30.3501,Climate Science.,11-9121,Natural Sciences Managers
30.3501,Climate Science.,19-2021,Atmospheric and Space Scientists
30.3501,Climate Science.,19-3092,Geographers
30.3501,Climate Science.,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
30.3601,Cultural Studies and Comparative Literature.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
30.3601,Cultural Studies and Comparative Literature.,25-1123,"English Language and Literature Teachers, Postsecondary"
30.3601,Cultural Studies and Comparative Literature.,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
30.3701,Design for Human Health.,19-3051,Urban and Regional Planners
30.3701,Design for Human Health.,25-1031,"Architecture Teachers, Postsecondary"
30.3701,Design for Human Health.,27-1025,Interior Designers
30.3801,Earth Systems Science.,11-9121,Natural Sciences Managers
30.3801,Earth Systems Science.,19-2042,"Geoscientists, Except Hydrologists and Geographers"
30.3801,Earth Systems Science.,19-2043,Hydrologists
30.3801,Earth Systems Science.,19-3092,Geographers
30.3801,Earth Systems Science.,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
30.3801,Earth Systems Science.,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
30.3901,Economics and Computer Science.,11-3021,Computer and Information Systems Managers
30.3901,Economics and Computer Science.,11-9199,"Managers, All Other"
30.3901,Economics and Computer Science.,15-1252,Software Developers
30.3901,Economics and Computer Science.,15-2051,Data Scientists
30.3901,Economics and Computer Science.,19-3011,Economists
30.3901,Economics and Computer Science.,25-1021,"Computer Science Teachers, Postsecondary"
30.3901,Economics and Computer Science.,25-1063,"Economics Teachers, Postsecondary"
30.4001,Economics and Foreign Language/Literature.,11-9199,"Managers, All Other"
30.4001,Economics and Foreign Language/Literature.,19-3011,Economists
30.4001,Economics and Foreign Language/Literature.,19-3099,"Social Scientists and Related Workers, All Other"
30.4001,Economics and Foreign Language/Literature.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
30.4001,Economics and Foreign Language/Literature.,25-1063,"Economics Teachers, Postsecondary"
30.4001,Economics and Foreign Language/Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
30.4001,Economics and Foreign Language/Literature.,27-3091,Interpreters and Translators
30.4101,Environmental Geosciences.,11-9121,Natural Sciences Managers
30.4101,Environmental Geosciences.,13-1041,Compliance Officers
30.4101,Environmental Geosciences.,19-2041,"Environmental Scientists and Specialists, Including Health"
30.4101,Environmental Geosciences.,19-2042,"Geoscientists, Except Hydrologists and Geographers"
30.4101,Environmental Geosciences.,19-2043,Hydrologists
30.4101,Environmental Geosciences.,19-3092,Geographers
30.4101,Environmental Geosciences.,19-4042,"Environmental Science and Protection Technicians, Including Health"
30.4101,Environmental Geosciences.,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
30.4101,Environmental Geosciences.,25-1053,"Environmental Science Teachers, Postsecondary"
30.4101,Environmental Geosciences.,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
30.4201,Geoarcheaology.,11-9199,"Managers, All Other"
30.4201,Geoarcheaology.,19-2042,"Geoscientists, Except Hydrologists and Geographers"
30.4201,Geoarcheaology.,19-3091,Anthropologists and Archeologists
30.4201,Geoarcheaology.,19-3099,"Social Scientists and Related Workers, All Other"
30.4201,Geoarcheaology.,25-1061,"Anthropology and Archeology Teachers, Postsecondary"
30.4201,Geoarcheaology.,25-1069,"Social Sciences Teachers, Postsecondary, All Other"
30.4301,Geobiology.,11-9121,Natural Sciences Managers
30.4301,Geobiology.,19-1099,"Life Scientists, All Other"
30.4301,Geobiology.,19-2042,"Geoscientists, Except Hydrologists and Geographers"
30.4301,Geobiology.,25-1042,"Biological Science Teachers, Postsecondary"
30.4301,Geobiology.,25-1053,"Environmental Science Teachers, Postsecondary"
30.4401,Geography and Environmental Studies.,11-9121,Natural Sciences Managers
30.4401,Geography and Environmental Studies.,19-1031,Conservation Scientists
30.4401,Geography and Environmental Studies.,19-2041,"Environmental Scientists and Specialists, Including Health"
30.4401,Geography and Environmental Studies.,19-3092,Geographers
30.4401,Geography and Environmental Studies.,19-3099,"Social Scientists and Related Workers, All Other"
30.4401,Geography and Environmental Studies.,19-4042,"Environmental Science and Protection Technicians, Including Health"
30.4401,Geography and Environmental Studies.,25-1053,"Environmental Science Teachers, Postsecondary"
30.4401,Geography and Environmental Studies.,25-1064,"Geography Teachers, Postsecondary"
30.4501,History and Language/Literature.,11-9199,"Managers, All Other"
30.4501,History and Language/Literature.,19-3093,Historians
30.4501,History and Language/Literature.,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
30.4501,History and Language/Literature.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
30.4501,History and Language/Literature.,25-1125,"History Teachers, Postsecondary"
30.4501,History and Language/Literature.,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
30.4501,History and Language/Literature.,27-3091,Interpreters and Translators
30.4601,History and Political Science.,11-9199,"Managers, All Other"
30.4601,History and Political Science.,19-3093,Historians
30.4601,History and Political Science.,19-3094,Political Scientists
30.4601,History and Political Science.,19-3099,"Social Scientists and Related Workers, All Other"
30.4601,History and Political Science.,19-4061,Social Science Research Assistants
30.4601,History and Political Science.,25-1065,"Political Science Teachers, Postsecondary"
30.4601,History and Political Science.,25-1125,"History Teachers, Postsecondary"
30.4701,Linguistics and Anthropology.,11-9199,"Managers, All Other"
30.4701,Linguistics and Anthropology.,19-3091,Anthropologists and Archeologists
30.4701,Linguistics and Anthropology.,19-3099,"Social Scientists and Related Workers, All Other"
30.4701,Linguistics and Anthropology.,25-1061,"Anthropology and Archeology Teachers, Postsecondary"
30.4701,Linguistics and Anthropology.,25-1123,"English Language and Literature Teachers, Postsecondary"
30.4701,Linguistics and Anthropology.,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
30.4801,Linguistics and Computer Science.,15-1252,Software Developers
30.4801,Linguistics and Computer Science.,15-2051,Data Scientists
30.4801,Linguistics and Computer Science.,25-1021,"Computer Science Teachers, Postsecondary"
30.4801,Linguistics and Computer Science.,25-1123,"English Language and Literature Teachers, Postsecondary"
30.4901,Mathematical Economics.,11-9121,Natural Sciences Managers
30.4901,Mathematical Economics.,15-2021,Mathematicians
30.4901,Mathematical Economics.,15-2041,Statisticians
30.4901,Mathematical Economics.,15-2099,"Mathematical Science Occupations, All Other"
30.4901,Mathematical Economics.,19-3011,Economists
30.4901,Mathematical Economics.,25-1063,"Economics Teachers, Postsecondary"
30.5001,Mathematics and Atmospheric/Oceanic Science.,11-9121,Natural Sciences Managers
30.5001,Mathematics and Atmospheric/Oceanic Science.,15-2021,Mathematicians
30.5001,Mathematics and Atmospheric/Oceanic Science.,15-2099,"Mathematical Science Occupations, All Other"
30.5001,Mathematics and Atmospheric/Oceanic Science.,19-2021,Atmospheric and Space Scientists
30.5001,Mathematics and Atmospheric/Oceanic Science.,25-1022,"Mathematical Science Teachers, Postsecondary"
30.5001,Mathematics and Atmospheric/Oceanic Science.,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
30.5101,"Philosophy, Politics, and Economics.",11-9199,"Managers, All Other"
30.5101,"Philosophy, Politics, and Economics.",19-3011,Economists
30.5101,"Philosophy, Politics, and Economics.",19-3094,Political Scientists
30.5101,"Philosophy, Politics, and Economics.",19-3099,"Social Scientists and Related Workers, All Other"
30.5101,"Philosophy, Politics, and Economics.",25-1063,"Economics Teachers, Postsecondary"
30.5101,"Philosophy, Politics, and Economics.",25-1065,"Political Science Teachers, Postsecondary"
30.5101,"Philosophy, Politics, and Economics.",25-1126,"Philosophy and Religion Teachers, Postsecondary"
30.5201,"Digital Humanities and Textual Studies, General.",11-9199,"Managers, All Other"
30.5201,"Digital Humanities and Textual Studies, General.",25-1123,"English Language and Literature Teachers, Postsecondary"
